   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   4    6    2   1.370649    47.450006     6.797889      47.9345  138.09077    8.41021   12
   6    4   -2   1.370649    52.193383   -30.708353       60.557  138.09077   13.42269   12
   6    4    2   1.370649    52.193383    30.708353       60.557  138.09077   13.42269   12
   4    6   -2   1.370649    47.450006    -6.797889      47.9345  138.09077    8.41021   12
   3    7    0   1.346810     0.000000    14.013525      14.0135  143.75507    0.79794   12
   7    3    0   1.346810     0.000000    37.933139      37.9331  143.75507    5.84671   12
   3    7    2   1.302640    96.772659   -26.921739      100.448  158.60425   64.26432   12
   7    3    2   1.302640    47.561815   -53.747350      71.7698  158.60425   32.80756   12
   5    6   -1   1.302640   -61.668602   -11.141478       62.667  158.60425   25.01312   12
   5    6    1   1.302640   -61.668602    11.141478       62.667  158.60425   25.01312   12
   6    5   -1   1.302640   104.566461   -48.298486      115.182  158.60425   84.50056   12
   6    5    1   1.302640  -104.566461   -48.298486      115.182  158.60425   84.50056   12
   3    7   -2   1.302640   -96.772659   -26.921739      100.448  158.60425   64.26432   12
   7    3   -2   1.302640   -47.561815   -53.747350      71.7698  158.60425   32.80756   12
   8    0    0   1.282125   100.245309    -0.000000      100.245  173.40156  100.00000    6
   4    7   -1   1.262549     9.592220    18.805166      21.1103        nan        nan   12
   4    7    1   1.262549    -9.592220    18.805166      21.1103        nan        nan   12
   7    4   -1   1.262549   -14.242625   -18.729803      23.5299        nan        nan   12
   7    4    1   1.262549   -14.242625    18.729803      23.5299        nan        nan   12
   5    5   -4   1.262549    17.244951     4.039414      17.7117        nan        nan   12
   5    5    4   1.262549   -17.244951     4.039414      17.7117        nan        nan   12
   8    1   -1   1.262549   -18.846719   -11.773409      22.2219        nan        nan   12
   8    1    1   1.262549    18.846719   -11.773409      22.2219        nan        nan   12
   6    4    4   1.243844    21.263794    40.628341      45.8564        nan        nan   12
   6    4   -4   1.243844    21.263794   -40.628341      45.8564        nan        nan   12
   2    8    0   1.243844   -59.745423     0.000000      59.7454        nan        nan   12
   8    2    0   1.243844  -113.863875     0.000000      113.864        nan        nan   12
   5    6   -3   1.225946     0.973448   -42.980779      42.9918        nan        nan   12
   5    6    3   1.225946     0.973448    42.980779      42.9918        nan        nan   12
   6    5    3   1.225946   -88.302238   -28.528921      92.7965        nan        nan   12
   6    5   -3   1.225946    88.302238   -28.528921      92.7965        nan        nan   12
   8    2   -2   1.208799    25.107067     7.945613      26.3343        nan        nan   12
   8    2    2   1.208799    25.107067    -7.945613      26.3343        nan        nan   12
   6    6    0   1.208799    77.833250    -0.000000      77.8333        nan        nan   12
   5    7    0   1.192352     0.000000    20.327051      20.3271        nan        nan   12
   4    7   -3   1.192352    17.501876     6.348956      18.6179        nan        nan   12
   4    7    3   1.192352   -17.501876     6.348956      18.6179        nan        nan   12
   7    4   -3   1.192352   -77.511814   -26.215090      81.8249        nan        nan   12
   7    4    3   1.192352   -77.511814    26.215090      81.8249        nan        nan   12
   7    5    0   1.192352     0.000000    20.398196      20.3982        nan        nan   12
   3    8   -1   1.192352   -12.660870     2.907277      12.9904        nan        nan   12
   3    8    1   1.192352   -12.660870    -2.907277      12.9904        nan        nan   12
   8    3   -1   1.192352     7.527151    20.480282      21.8197        nan        nan   12
   8    3    1   1.192352    -7.527151    20.480282      21.8197        nan        nan   12
   6    6   -2   1.176559   -47.337294    -5.449173      47.6499        nan        nan   12
   6    6    2   1.176559   -47.337294     5.449173      47.6499        nan        nan   12
   5    7    2   1.161377   -39.858246   -29.735462       49.728        nan        nan   12
   7    5    2   1.161377    33.727474   -17.065633      37.7992        nan        nan   12
   5    7   -2   1.161377    39.858246   -29.735462       49.728        nan        nan   12
   7    5   -2   1.161377   -33.727474   -17.065633      37.7992        nan        nan   12
   4    8    0   1.146767    74.572808    -0.000000      74.5728        nan        nan   12
   8    4    0   1.146767    67.778810    -0.000000      67.7788        nan        nan   12
   8    3   -3   1.132696    71.710917    42.933752      83.5809        nan        nan   12
   8    3    3   1.132696   -71.710917    42.933752      83.5809        nan        nan   12
   1    9    0   1.132696     0.000000    34.571864      34.5719        nan        nan   12
   9    1    0   1.132696    -0.000000   -79.096070      79.0961        nan        nan   12
   4    8    2   1.119130    16.874587    80.715283      82.4603        nan        nan   12
   8    4   -2   1.119130    43.148559   -39.088248       58.221        nan        nan   12
   8    4    2   1.119130    43.148559    39.088248       58.221        nan        nan   12
   4    8   -2   1.119130    16.874587   -80.715283      82.4603        nan        nan   12
   6    5    5   1.106041   109.985433   -45.695737        119.1        nan        nan   12
   6    5   -5   1.106041  -109.985433   -45.695737        119.1        nan        nan   12
   6    7   -1   1.106041  -164.723982     0.635174      164.725        nan        nan   12
   6    7    1   1.106041   164.723982     0.635174      164.725        nan        nan   12
   7    6   -1   1.106041    -8.590354    13.819617      16.2719        nan        nan   12
   7    6    1   1.106041    -8.590354   -13.819617      16.2719        nan        nan   12
   2    9   -1   1.106041   -14.227191   -73.162919      74.5334        nan        nan   12
   2    9    1   1.106041    14.227191   -73.162919      74.5334        nan        nan   12
   9    2   -1   1.106041   135.631162    -3.774983      135.684        nan        nan   12
   9    2    1   1.106041   135.631162     3.774983      135.684        nan        nan   12
   6    6    4   1.093400   -34.905911    28.039253       44.773        nan        nan   12
   6    6   -4   1.093400   -34.905911   -28.039253       44.773        nan        nan   12
   5    7    4   1.081183   -37.072984    16.402669      40.5395        nan        nan   12
   7    5    4   1.081183    76.872004    23.541175      80.3958        nan        nan   12
   5    7   -4   1.081183    37.072984    16.402669      40.5395        nan        nan   12
   7    5   -4   1.081183   -76.872004    23.541175      80.3958        nan        nan   12
   5    8   -1   1.081183   -10.240324    17.671125      20.4238        nan        nan   12
   5    8    1   1.081183   -10.240324   -17.671125      20.4238        nan        nan   12
   8    5   -1   1.081183   -54.894644     3.208193      54.9883        nan        nan   12
   8    5    1   1.081183    54.894644     3.208193      54.9883        nan        nan   12
   3    9    0   1.081183    -0.000000    -4.618590      4.61859        nan        nan   12
   9    3    0   1.081183    -0.000000   -15.049258      15.0493        nan        nan   12
   6    7    3   1.057929     1.499797     9.732225      9.84711        nan        nan   12
   6    7   -3   1.057929    -1.499797     9.732225      9.84711        nan        nan   12
   7    6   -3   1.057929  -142.690195    -9.310845      142.994        nan        nan   12
   7    6    3   1.057929  -142.690195     9.310845      142.994        nan        nan   12
   3    9   -2   1.057929   186.311504     7.808037      186.475        nan        nan   12
   3    9    2   1.057929  -186.311504     7.808037      186.475        nan        nan   12
   9    3   -2   1.057929    -4.877101   -59.564055      59.7634        nan        nan   12
   9    3    2   1.057929     4.877101   -59.564055      59.7634        nan        nan   12
   8    4    4   1.046851   -51.445425    27.149145      58.1696        nan        nan   12
   8    4   -4   1.046851   -51.445425   -27.149145      58.1696        nan        nan   12
   7    7    0   1.036113    -0.000000    -3.248767      3.24877        nan        nan   12
   5    8   -3   1.036113    11.495743   -40.377223      41.9818        nan        nan   12
   5    8    3   1.036113    11.495743    40.377223      41.9818        nan        nan   12
   8    5   -3   1.036113    13.333147    13.227073      18.7811        nan        nan   12
   8    5    3   1.036113   -13.333147    13.227073      18.7811        nan        nan   12
   4    9   -1   1.036113    11.260075    -0.996077       11.304        nan        nan   12
   4    9    1   1.036113   -11.260075    -0.996077       11.304        nan        nan   12
   9    4   -1   1.036113   -68.613223     0.650768      68.6163        nan        nan   12
   9    4    1   1.036113   -68.613223    -0.650768      68.6163        nan        nan   12
   6    8    0   1.025700    28.046681    -0.000000      28.0467        nan        nan   12
   8    6    0   1.025700    40.873556    -0.000000      40.8736        nan        nan   12
  10    0    0   1.025700   -63.219407     0.000000      63.2194        nan        nan    6
   7    7   -2   1.015594    74.294066    13.442996      75.5005        nan        nan   12
   7    7    2   1.015594   -74.294066    13.442996      75.5005        nan        nan   12
  10    1   -1   1.015594    36.776504   -20.269755      41.9925        nan        nan   12
  10    1    1   1.015594   -36.776504   -20.269755      41.9925        nan        nan   12
