   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   4    6    2   1.370649    41.563608     9.074134      42.5426  138.09077    7.96213   12
   6    4   -2   1.370649    45.928080   -29.388984      54.5261  138.09077   13.07949   12
   6    4    2   1.370649    45.928080    29.388984      54.5261  138.09077   13.07949   12
   4    6   -2   1.370649    41.563608    -9.074134      42.5426  138.09077    7.96213   12
   3    7    0   1.346810     0.000000    19.161553      19.1616  143.75507    1.79311   12
   7    3    0   1.346810     0.000000    33.255714      33.2557  143.75507    5.40103   12
   3    7    2   1.302640    83.484611   -22.740687      86.5264  158.60425   57.31369   12
   7    3    2   1.302640    39.181325   -47.052467        61.23  158.60425   28.70049   12
   5    6   -1   1.302640   -51.763047    -7.566730      52.3132  158.60425   20.94996   12
   5    6    1   1.302640   -51.763047     7.566730      52.3132  158.60425   20.94996   12
   6    5   -1   1.302640    87.620034   -43.747983      97.9344  158.60425   73.42298   12
   6    5    1   1.302640   -87.620034   -43.747983      97.9344  158.60425   73.42298   12
   3    7   -2   1.302640   -83.484611   -22.740687      86.5264  158.60425   57.31369   12
   7    3   -2   1.302640   -39.181325   -47.052467        61.23  158.60425   28.70049   12
   8    0    0   1.282125    91.438434    -0.000000      91.4384  173.40156  100.00000    6
   4    7   -1   1.262549     7.422788    15.426700      17.1196        nan        nan   12
   4    7    1   1.262549    -7.422788    15.426700      17.1196        nan        nan   12
   7    4   -1   1.262549   -15.192291   -14.419472      20.9458        nan        nan   12
   7    4    1   1.262549   -15.192291    14.419472      20.9458        nan        nan   12
   5    5   -4   1.262549    14.204768     5.293604      15.1591        nan        nan   12
   5    5    4   1.262549   -14.204768     5.293604      15.1591        nan        nan   12
   8    1   -1   1.262549   -15.098320    -9.727984      17.9609        nan        nan   12
   8    1    1   1.262549    15.098320    -9.727984      17.9609        nan        nan   12
   6    4    4   1.243844    17.699663    34.973796      39.1975        nan        nan   12
   6    4   -4   1.243844    17.699663   -34.973796      39.1975        nan        nan   12
   2    8    0   1.243844   -48.528220     0.000000      48.5282        nan        nan   12
   8    2    0   1.243844   -96.231596     0.000000      96.2316        nan        nan   12
   5    6   -3   1.225946     1.698833   -32.922219       32.966        nan        nan   12
   5    6    3   1.225946     1.698833    32.922219       32.966        nan        nan   12
   6    5    3   1.225946   -74.739179   -21.412165      77.7459        nan        nan   12
   6    5   -3   1.225946    74.739179   -21.412165      77.7459        nan        nan   12
   8    2   -2   1.208799    23.877925     8.370195      25.3025        nan        nan   12
   8    2    2   1.208799    23.877925    -8.370195      25.3025        nan        nan   12
   6    6    0   1.208799    61.729636    -0.000000      61.7296        nan        nan   12
   5    7    0   1.192352     0.000000    20.760389      20.7604        nan        nan   12
   4    7   -3   1.192352    17.951878     7.061268      19.2907        nan        nan   12
   4    7    3   1.192352   -17.951878     7.061268      19.2907        nan        nan   12
   7    4   -3   1.192352   -63.999912   -19.921260      67.0287        nan        nan   12
   7    4    3   1.192352   -63.999912    19.921260      67.0287        nan        nan   12
   7    5    0   1.192352     0.000000    15.158148      15.1581        nan        nan   12
   3    8   -1   1.192352   -15.269284     2.267297      15.4367        nan        nan   12
   3    8    1   1.192352   -15.269284    -2.267297      15.4367        nan        nan   12
   8    3   -1   1.192352     3.780087    19.785381      20.1432        nan        nan   12
   8    3    1   1.192352    -3.780087    19.785381      20.1432        nan        nan   12
   6    6   -2   1.176559   -44.847304    -4.274246      45.0505        nan        nan   12
   6    6    2   1.176559   -44.847304     4.274246      45.0505        nan        nan   12
   5    7    2   1.161377   -29.620386   -22.025409      36.9119        nan        nan   12
   7    5    2   1.161377    26.305726   -15.253653      30.4083        nan        nan   12
   5    7   -2   1.161377    29.620386   -22.025409      36.9119        nan        nan   12
   7    5   -2   1.161377   -26.305726   -15.253653      30.4083        nan        nan   12
   4    8    0   1.146767    64.569398    -0.000000      64.5694        nan        nan   12
   8    4    0   1.146767    58.203608    -0.000000      58.2036        nan        nan   12
   8    3   -3   1.132696    60.638065    40.700961      73.0311        nan        nan   12
   8    3    3   1.132696   -60.638065    40.700961      73.0311        nan        nan   12
   1    9    0   1.132696     0.000000    30.370603      30.3706        nan        nan   12
   9    1    0   1.132696    -0.000000   -63.435147      63.4351        nan        nan   12
   4    8    2   1.119130    12.115081    60.532157      61.7326        nan        nan   12
   8    4   -2   1.119130    35.651107   -29.051749      45.9892        nan        nan   12
   8    4    2   1.119130    35.651107    29.051749      45.9892        nan        nan   12
   4    8   -2   1.119130    12.115081   -60.532157      61.7326        nan        nan   12
   6    5    5   1.106041    88.985449   -40.302702      97.6868        nan        nan   12
   6    5   -5   1.106041   -88.985449   -40.302702      97.6868        nan        nan   12
   6    7   -1   1.106041  -133.960954     0.634747      133.962        nan        nan   12
   6    7    1   1.106041   133.960954     0.634747      133.962        nan        nan   12
   7    6   -1   1.106041    -6.869280    12.487379      14.2521        nan        nan   12
   7    6    1   1.106041    -6.869280   -12.487379      14.2521        nan        nan   12
   2    9   -1   1.106041   -13.774039   -61.477751      63.0019        nan        nan   12
   2    9    1   1.106041    13.774039   -61.477751      63.0019        nan        nan   12
   9    2   -1   1.106041   105.561852    -1.559976      105.573        nan        nan   12
   9    2    1   1.106041   105.561852     1.559976      105.573        nan        nan   12
   6    6    4   1.093400   -21.477588    24.725943      32.7515        nan        nan   12
   6    6   -4   1.093400   -21.477588   -24.725943      32.7515        nan        nan   12
   5    7    4   1.081183   -30.403673    12.787099      32.9832        nan        nan   12
   7    5    4   1.081183    58.919556    23.023996      63.2583        nan        nan   12
   5    7   -4   1.081183    30.403673    12.787099      32.9832        nan        nan   12
   7    5   -4   1.081183   -58.919556    23.023996      63.2583        nan        nan   12
   5    8   -1   1.081183    -8.817298    14.897743      17.3115        nan        nan   12
   5    8    1   1.081183    -8.817298   -14.897743      17.3115        nan        nan   12
   8    5   -1   1.081183   -47.035133     8.782035       47.848        nan        nan   12
   8    5    1   1.081183    47.035133     8.782035       47.848        nan        nan   12
   3    9    0   1.081183    -0.000000    -6.285061      6.28506        nan        nan   12
   9    3    0   1.081183    -0.000000   -10.458652      10.4587        nan        nan   12
   6    7    3   1.057929    -2.049282     6.202897      6.53265        nan        nan   12
   6    7   -3   1.057929     2.049282     6.202897      6.53265        nan        nan   12
   7    6   -3   1.057929  -118.683387    -5.263491        118.8        nan        nan   12
   7    6    3   1.057929  -118.683387     5.263491        118.8        nan        nan   12
   3    9   -2   1.057929   146.935250     6.760881      147.091        nan        nan   12
   3    9    2   1.057929  -146.935250     6.760881      147.091        nan        nan   12
   9    3   -2   1.057929    -4.367933   -50.163301      50.3531        nan        nan   12
   9    3    2   1.057929     4.367933   -50.163301      50.3531        nan        nan   12
   8    4    4   1.046851   -35.720041    18.354445      40.1598        nan        nan   12
   8    4   -4   1.046851   -35.720041   -18.354445      40.1598        nan        nan   12
   7    7    0   1.036113    -0.000000    -7.148545      7.14855        nan        nan   12
   5    8   -3   1.036113     8.576272   -31.805274      32.9413        nan        nan   12
   5    8    3   1.036113     8.576272    31.805274      32.9413        nan        nan   12
   8    5   -3   1.036113     7.131462     8.381444      11.0048        nan        nan   12
   8    5    3   1.036113    -7.131462     8.381444      11.0048        nan        nan   12
   4    9   -1   1.036113     9.831336    -1.580039      9.95749        nan        nan   12
   4    9    1   1.036113    -9.831336    -1.580039      9.95749        nan        nan   12
   9    4   -1   1.036113   -57.282033    -3.731811      57.4035        nan        nan   12
   9    4    1   1.036113   -57.282033     3.731811      57.4035        nan        nan   12
   6    8    0   1.025700    18.532415    -0.000000      18.5324        nan        nan   12
